Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
2790;0.568419;0.671869;0.547897
2800;0.685437;0.377244;0.508458
2810;0.376508;0.277957;0.419160
2820;0.482963;0.478381;0.754110
2830;0.656272;0.648830;0.701509
2840;0.821541;0.439734;0.472535
2850;0.594771;0.481366;0.632918
2860;0.564202;0.504254;0.675671
2870;0.636916;0.393010;0.541184
2880;0.662268;0.567491;0.583144
2890;0.452308;0.571826;0.488308
2900;0.501064;0.526940;0.363351
2910;0.321416;0.659144;0.515019
2920;0.374680;0.497929;0.691097
2930;0.683846;0.578068;0.757341
2940;0.377018;0.526120;0.535100
2950;0.305204;0.759584;0.350180
2960;0.423082;0.482070;0.673509
2970;0.470419;0.435680;0.382169
2980;0.554209;0.555834;0.691536
2990;0.434599;0.581480;0.458425
3000;0.648432;0.330642;0.601458
3010;0.402360;0.635404;0.519255
3020;0.518051;0.549589;0.491992
3030;0.591321;0.524324;0.499584
3040;0.442064;0.402048;0.728833
3050;0.468467;0.482084;0.522619
3060;0.575154;0.482897;0.638869
3070;0.529840;0.562488;0.647878
3080;0.467675;0.451323;0.633428
3090;0.578509;0.604149;0.636860
3100;0.458548;0.408050;0.620332
3110;0.432469;0.545963;0.482655
3120;0.849753;0.461503;0.615816
3130;0.557463;0.662311;0.602817
3140;0.552705;0.653665;0.433805
3150;0.404891;0.416833;0.493227
3160;0.531353;0.648298;0.558306
3170;0.667596;0.555587;0.366486
3180;0.546871;0.597351;0.587004
3190;0.444059;0.368688;0.227675
3200;0.280296;0.616411;0.482490
3210;0.437962;0.366847;0.567487
3220;0.497876;0.552864;0.548696
3230;0.506466;0.661171;0.599627
3240;0.610813;0.776494;0.577220
3250;0.622536;0.535387;0.501241
3260;0.386588;0.516802;0.556577
3270;0.447552;0.431860;0.669669
3280;0.483071;0.501364;0.540781
3290;0.512323;0.223589;0.318127
3300;0.609112;0.421275;0.536590
3310;0.493809;0.561053;0.634194
3320;0.484171;0.669766;0.534851
3330;0.523552;0.383738;0.642724
3340;0.410052;0.654420;0.646364
3350;0.163045;0.440003;0.613312
3360;0.439513;0.515073;0.530101
3370;0.609115;0.504617;0.560005
3380;0.503229;0.362043;0.492164
3390;0.502382;0.485059;0.614735
3400;0.527476;0.342664;0.540266
3410;0.585730;0.551869;0.380411
3420;0.487837;0.478085;0.554305
3430;0.657557;0.474981;0.435429
3440;0.430507;0.498484;0.557566
3450;0.694035;0.465303;0.871159
3460;0.571816;0.359953;0.709981
3470;0.568560;0.536540;0.501174
3480;0.507107;0.305880;0.352448
3490;0.479619;0.419576;0.416035
3500;0.506262;0.545448;0.662535
3510;0.292877;0.440564;0.494598
3520;0.446554;0.684476;0.487739
3530;0.514667;0.346011;0.397885
3540;0.397665;0.436636;0.527976
3550;0.388454;0.574408;0.529980
3560;0.547035;0.470922;0.544207
3570;0.459383;0.602520;0.635909
3580;0.382032;0.436097;0.561315
3590;0.483285;0.560505;0.499005
3600;0.487190;0.368894;0.570905
3610;0.468931;0.437634;0.723309
3620;0.408547;0.572624;0.567881
3630;0.421306;0.372189;0.550595
3640;0.631227;0.385676;0.515801
3650;0.399818;0.530645;0.701766
3660;0.460131;0.450667;0.280078
3670;0.478148;0.386695;0.226528
3680;0.567130;0.523541;0.178992
3690;0.493878;0.474233;0.533207
3700;0.257042;0.417754;0.461040
3710;0.508701;0.434414;0.563961
3720;0.492488;0.357296;0.324126
3730;0.554473;0.464979;0.470534
3740;0.306211;0.507099;0.580411
3750;0.370844;0.480941;0.324801
3760;0.633646;0.371839;0.385580
3770;0.631267;0.293807;0.397669
3780;0.292490;0.417266;0.311401
3790;0.367516;0.550988;0.490526
3800;0.445531;0.398365;0.533840
3810;0.244817;0.515676;0.472642
3820;0.544127;0.485942;0.551157
3830;0.339876;0.332778;0.485707
3840;0.262180;0.521184;0.235395
3850;0.202552;0.669244;0.452213
3860;0.579254;0.392564;0.471285
3870;0.391825;0.194014;0.410027
3880;0.219400;0.165901;0.371246
3890;0.526352;0.566844;0.421200
3900;0.402100;0.431148;0.318912
3910;0.348128;0.575277;0.603834
3920;0.376411;0.453733;0.639837
3930;0.465424;0.398672;0.404063
3940;0.385380;0.481437;0.530644
3950;0.245768;0.153189;0.529019
3960;0.426639;0.408600;0.644063
3970;0.298654;0.349481;0.377912
3980;0.353941;0.457585;0.326040
3990;0.251906;0.375898;0.303049
4000;0.357537;0.261546;0.252573
4010;0.301428;0.337408;0.370780
4020;0.397128;0.467871;0.362585
4030;0.274804;0.425349;0.400444
4040;0.372151;0.483276;0.183123
4050;0.255529;0.481562;0.528335
4060;0.108973;0.291290;0.341001
4070;0.402510;0.544139;0.442232
4080;0.408688;0.391212;0.460196
4090;0.443345;0.411996;0.516121
4100;0.511841;0.329565;0.394284
4110;0.426403;0.694705;0.495490
4120;0.398184;0.366276;0.336075
4130;0.039386;0.233974;0.393267
4140;0.348491;0.388670;0.452230
4150;0.341202;0.554888;0.765686
4160;0.332177;0.527698;0.342330
4170;0.459862;0.369575;0.533820
4180;0.370132;0.546040;0.356456
4190;0.472480;0.473785;0.489799
4200;0.434638;0.360375;0.435500
4210;0.475972;0.360185;0.505156
4220;0.283971;0.560894;0.607694
4230;0.283650;0.362692;0.277984
4240;0.521475;0.538154;0.436665
4250;0.443194;0.583059;0.263781
4260;0.471148;0.336345;0.362500
4270;0.355197;0.498443;0.410702
4280;0.529518;0.291854;0.439583
4290;0.399898;0.420142;0.272627
4300;0.273257;0.399333;0.540747
4310;0.249057;0.422154;0.341638
4320;0.231247;0.289550;0.535061
4330;0.339761;0.415800;0.409211
4340;0.440163;0.235877;0.297834
4350;0.339219;0.324733;0.394670
4360;0.472979;0.303681;0.507675
4370;0.317809;0.420675;0.189711
4380;0.379516;0.301216;0.452320
4390;0.236213;0.329592;0.560031
4400;0.486974;0.388206;0.419977
4410;0.381938;0.381485;0.252729
4420;0.226722;0.320562;0.205652
4430;0.273660;0.247478;0.588607
4440;0.501507;0.482969;0.444533
4450;0.588991;0.496610;0.500029
4460;0.452054;0.131248;0.368615
4470;0.357638;0.516249;0.276477
4480;0.020396;0.393210;0.419513
4490;0.131883;0.118713;0.440053
4500;0.492632;0.520923;0.429406
4510;0.644546;0.507643;0.468162
4520;0.460502;0.465348;0.487342
4530;0.311428;0.555495;0.309310
4540;0.225531;0.416569;0.483475
4550;0.371387;0.218845;0.252627
4560;0.393788;0.344914;0.356567
4570;0.469993;0.403135;0.355187
4580;0.298586;0.383048;0.375685
4590;0.433930;0.502396;0.002884
4600;0.273726;0.468985;0.268876
4610;0.261153;0.257882;0.378550
4620;0.611974;0.404032;0.232048
4630;0.510584;0.653650;0.402992
4640;0.386010;0.498624;0.518874
4650;0.411306;0.424779;0.462262
4660;0.447431;0.426772;0.514072
4670;0.315566;0.384065;0.356229
4680;0.405670;0.288603;0.446525
4690;0.271607;0.527472;0.266397
4700;0.259212;0.502420;0.320785
4710;0.184161;0.327338;0.428739
4720;0.280630;0.177980;0.373240
4730;0.391702;0.516710;0.371558
4740;0.454954;0.321162;0.414491
4750;0.377289;0.356745;0.252740
4760;0.409537;0.268308;0.138408
4770;0.448230;0.281504;0.229838
4780;0.598785;0.509142;0.508682
4790;0.437622;0.386005;0.468993
4800;0.341827;0.462066;0.175175
4810;0.493947;0.589714;0.214562
4820;0.355563;0.433381;0.423949
4830;0.619318;0.429316;0.658736
4840;0.338089;0.138151;0.373989
4850;0.346501;0.353781;0.468231
4860;0.438292;0.516656;0.539801
4870;0.454525;0.373794;0.455262
4880;0.593486;0.555456;0.496984
4890;0.338139;0.300402;0.252410
4900;0.360937;0.343147;0.373673
4910;0.432887;0.309729;0.434076
4920;0.241832;0.424734;0.228545
4930;0.370001;0.426241;0.472067
4940;0.331139;0.263222;0.334589
4950;0.201334;0.412683;0.263370
4960;0.459734;0.348446;0.408902
4970;0.238006;0.215952;0.474353
4980;0.420882;0.231295;0.298535
4990;0.535569;0.364013;0.388110
5000;0.373823;0.425303;0.512279
