Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD]
520;-0.778171;-0.783780;-0.507409;-0.430254;-1.241458;-0.286551;-0.499343;0.914668
530;-0.721937;-0.158012;-0.872000;-0.500482;-0.316854;0.146005;-0.645950;-0.835730
540;-0.200628;-0.222253;-1.098496;-1.375550;-0.473549;0.091535;0.196937;-0.455905
550;-0.380570;0.058958;-0.078905;-0.775292;-0.121227;-0.117645;-0.624854;-0.692701
560;-0.946935;0.045787;-0.426892;-0.872057;-0.399959;0.499897;-0.007512;-0.856266
570;-0.266912;-0.756101;-0.298063;-0.690691;-0.977971;-0.000321;-1.223759;-0.634131
580;-0.467806;-0.426220;0.732644;-0.541545;0.059544;-0.716330;-0.362464;-1.360633
590;0.061319;0.207290;-0.542078;-0.844555;0.532114;-0.209075;-0.401122;-1.176280
600;-0.034705;-0.223472;0.093662;-0.117749;0.904739;0.210925;-0.146682;0.519767
610;0.454911;-1.022636;-0.745365;0.909500;0.478125;-0.817868;-0.221162;-0.834033
620;-0.581179;0.503037;-1.803261;-0.989082;0.260902;-0.426868;-0.455909;-1.040075
630;-0.445414;-0.406506;0.321166;-1.262337;0.207395;0.461797;-0.075776;-0.672639
640;-0.926692;-0.836738;-0.832886;-0.645970;-0.177076;0.200574;-0.416436;0.550764
650;0.956980;0.247905;1.171100;-0.909129;-0.307262;-0.947480;-0.046194;-0.933837
660;-0.345967;0.206304;-0.223709;-0.335565;-0.466139;-0.562698;0.097822;0.792089
670;-0.281208;-0.207103;0.740905;-0.542072;0.097458;-0.039480;0.158037;-0.554037
680;-0.660586;0.273011;-0.522951;0.882370;-1.518563;-0.277474;-0.424145;0.747149
690;-0.345993;-0.115622;0.491352;-0.772813;-0.087912;-1.766295;-0.312870;0.710547
700;-0.226364;0.738960;-0.493022;-1.060333;0.051446;0.170063;0.200039;-0.188356
710;0.517155;0.472660;0.475110;0.125456;0.456091;-0.725464;-0.512629;0.330275
720;-0.685380;0.402096;0.463446;0.005678;0.581636;0.804231;-0.385595;-0.058660
730;0.305680;-0.926283;1.469665;-0.554854;0.363637;-0.457003;-0.719203;0.331874
740;-0.605272;0.297213;0.804326;-0.268121;-0.128880;-1.047461;0.124082;-0.493256
750;-0.723497;0.870036;0.710312;-0.239644;-1.115679;-0.591615;-0.267590;0.284843
