Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
810;20.658248;18.956387;20.068420;18.719932;18.533183;19.297374;19.158829;20.214617;19.202499;19.894903
820;19.090315;20.752925;19.881791;19.227733;19.431470;19.464381;20.832023;19.098318;18.423887;19.422038
830;21.442022;19.859750;19.615584;19.056017;19.980048;19.941128;20.775695;19.291671;19.885107;19.348727
840;19.603289;19.156843;19.147563;19.652071;19.679282;17.779470;18.477774;17.754492;19.729161;19.994938
850;19.902640;19.613506;17.967211;18.880344;18.895854;20.070181;19.017090;20.156534;19.467271;18.423380
860;18.174674;18.627793;18.696217;17.481255;18.150475;18.165838;19.215025;19.043116;18.221272;18.976723
870;19.770364;17.438409;18.644985;18.543938;18.969701;17.662024;19.156054;18.956004;18.499652;19.075555
880;19.544193;18.072791;18.821854;17.911855;19.260860;18.018089;17.846973;19.041932;19.280221;18.775779
890;18.656809;17.053248;18.459790;19.375116;17.729988;16.977029;17.697931;18.051122;16.716753;18.413439
900;18.668192;17.690565;16.681649;17.221278;18.831377;18.932744;18.724881;18.239629;17.444550;18.721687
910;19.530444;18.081074;17.290797;17.723180;17.533786;17.238654;16.786292;18.919297;19.707447;18.214970
920;18.157944;17.222338;16.464417;16.911596;18.295057;18.365935;18.182395;17.979255;17.583373;17.627574
930;17.900448;17.641542;18.055858;17.666479;16.627265;17.617812;16.677904;18.215000;18.447200;18.640633
940;18.023214;16.745712;17.194445;17.105822;17.966176;18.675106;16.724301;18.876352;17.086823;18.074127
950;17.144677;16.815664;18.807247;18.404015;17.032640;18.068169;17.486746;17.689778;18.090361;17.533484
960;16.689054;19.219414;16.575332;16.236587;16.682210;17.678009;16.215591;18.146922;16.803451;15.694556
970;17.391324;17.065205;16.628834;17.213780;17.114084;16.827732;17.104993;19.511387;16.391770;16.495273
980;17.511051;16.864643;15.195389;16.352666;16.613535;16.705647;16.580717;16.488057;17.535484;15.981559
990;16.648108;16.546875;16.960630;16.391199;17.210595;16.512364;17.088008;16.787556;17.221105;16.605014
1000;16.020766;16.938362;16.341266;16.778625;15.954234;15.967481;16.373659;17.294804;15.405552;15.892848
1010;17.388998;16.876262;16.846583;16.526580;15.144671;15.900709;16.522953;15.702194;16.575518;16.388991
1020;16.729895;16.051382;15.784051;16.366268;17.252125;15.803660;16.648271;15.359622;17.645623;15.559876
1030;15.072487;14.941017;14.490820;15.488309;15.787028;15.943727;15.947745;17.577438;15.282572;16.170564
1040;15.718104;15.950670;15.743167;15.322008;15.616964;15.824501;16.281094;15.994378;14.962709;15.393836
1050;14.527748;15.544375;16.313683;16.536112;15.033075;16.739179;14.909288;16.682407;15.901920;15.860826
1060;16.076128;16.975857;15.620549;15.367921;15.837160;15.689704;15.710897;15.206244;15.479384;15.762546
1070;16.210898;15.615647;15.027026;16.254461;14.525174;16.585514;14.114124;15.349414;14.207357;14.866065
1080;14.234609;16.106868;15.501568;14.098816;15.238000;15.818916;15.682262;14.434755;13.653422;15.097074
1090;15.025551;14.249469;14.887706;14.142002;14.723635;14.811913;14.278951;14.215397;14.399354;15.046519
1100;15.490547;15.911950;14.416065;15.420718;14.463070;15.745763;14.706717;15.301423;15.321513;14.342548
1110;14.708718;14.516478;14.587281;14.920528;14.250273;14.895848;14.310792;13.866825;14.252414;13.737473
1120;15.082464;14.818829;14.600440;14.051993;14.092080;14.297857;14.976847;15.054097;14.505278;15.302695
1130;13.201522;13.908762;15.287069;14.618633;15.157108;13.476740;13.097024;14.481397;15.203366;14.785412
1140;14.799546;14.291864;13.755826;13.212257;13.992767;15.349089;14.202075;12.760315;15.567610;15.395838
1150;13.346645;13.593031;14.255236;14.720734;14.603577;14.480614;14.413078;14.756476;13.871473;14.319104
1160;13.796094;15.230085;13.814304;12.888749;14.885541;14.238431;13.619738;14.061054;14.696240;12.592848
1170;14.377573;13.255957;13.123365;13.853668;13.869095;13.624030;13.812991;12.827731;14.437177;13.278491
1180;14.549941;13.637394;15.324115;13.635988;13.528190;13.150232;13.222462;13.181961;14.212788;13.471102
1190;14.966037;13.140606;13.655455;13.850737;13.665751;13.211883;13.503149;12.820031;13.755702;13.107290
1200;13.885273;12.110620;13.211061;13.753680;13.354154;12.842842;13.552402;12.831701;11.706073;12.859358
1210;13.348969;13.117139;13.349238;12.720402;11.377275;12.005330;13.473247;12.334831;13.255508;13.000431
1220;13.338780;13.173152;12.364368;13.391567;14.259569;13.684128;13.095887;13.926263;12.819844;12.743627
1230;12.933381;12.764838;12.627097;11.689022;13.593256;12.299297;12.081359;12.816986;12.366294;12.422786
1240;12.805327;13.485620;12.045378;13.416362;13.255617;12.828326;13.866813;12.460295;13.997321;12.667891
1250;13.545938;13.169787;12.330176;13.067891;12.761674;13.276738;12.313038;13.709966;11.715196;12.838143
1260;12.957818;12.051244;11.913368;13.591447;13.201064;13.399187;12.449549;12.799674;12.285371;11.198489
1270;13.599705;12.752264;12.263262;12.972599;11.904230;12.335533;13.075963;12.065871;11.964102;12.229901
1280;12.701017;13.020515;11.916908;11.646970;11.706513;12.516450;12.122289;12.565181;12.183841;10.891385
1290;12.647290;11.535413;10.981958;12.170784;11.469920;12.088577;12.395126;12.753107;11.126980;12.173749
1300;13.950854;11.887330;12.795813;12.400971;11.577923;12.255808;12.580474;11.642822;11.238077;12.433471
1310;11.578478;11.938119;12.818111;10.672008;11.638955;12.458002;12.673393;11.843292;11.825557;11.815640
1320;12.544415;11.539992;12.312941;12.107370;11.784384;11.147735;13.161371;13.284699;11.896121;11.266548
1330;12.473386;10.165615;13.122761;12.010160;12.299329;10.636408;10.285689;11.988399;11.478036;11.369520
1340;11.204668;11.398114;11.605777;11.781448;12.425575;11.614354;12.761610;12.070008;11.334888;12.198566
1350;10.216772;12.285263;11.996503;12.369919;12.181671;12.146319;11.564115;11.068241;11.186796;11.746447
1360;11.174172;10.855872;10.893399;10.690150;11.460971;12.164206;11.910500;11.185872;11.659695;10.608559
1370;10.875073;12.516836;10.925354;10.862343;11.362425;12.082692;11.664084;11.973975;10.602535;12.471489
1380;11.428175;10.821491;10.896718;10.850954;9.894703;12.525731;12.172645;11.033955;11.987805;11.000763
1390;10.811009;9.648587;10.570149;11.627026;11.156446;10.832183;11.662690;11.847255;11.656675;9.099858
1400;11.342342;10.184210;10.915316;11.832167;11.050281;11.180466;10.826609;10.900751;11.229097;11.353388
1410;10.323476;10.959286;12.445503;10.563861;10.753779;11.699913;12.177225;11.241017;10.729194;10.472001
1420;9.869293;11.045867;11.588953;8.616894;9.649427;11.091310;11.470419;10.711819;11.001725;10.651412
1430;10.298936;11.746143;10.160739;10.618956;11.210819;10.241632;10.357294;10.013396;11.442202;10.910481
1440;10.036747;11.012562;9.766544;9.933194;10.324633;10.412638;10.797839;10.053333;10.374788;11.598223
1450;10.402437;9.722694;10.259646;9.358069;9.933194;10.876577;10.062541;11.389023;11.127483;10.523377
1460;11.259922;10.051302;10.032171;10.845765;9.954358;10.419601;9.839333;10.488215;11.290449;10.077517
1470;9.572586;10.284287;9.833415;10.134715;8.703793;10.087350;10.098244;9.750528;9.581655;9.764922
1480;9.910278;9.037860;10.218896;10.638960;10.501906;9.372938;9.232136;9.706333;10.063119;9.617078
1490;9.983815;9.685885;9.445240;10.548630;10.099804;9.471700;10.333657;11.562739;9.859707;10.201574
1500;9.588400;9.174907;10.627337;9.742775;10.465231;8.878225;9.462927;8.780019;9.923413;8.910322
1510;9.934882;10.290390;9.350280;10.064229;10.822148;9.383499;10.179276;9.871750;10.516010;10.659027
1520;8.343302;9.014012;9.143979;10.839169;9.064201;10.072957;9.507146;10.340285;11.929833;10.237688
1530;9.432644;9.067882;8.618164;10.570309;10.536934;7.577543;10.344915;9.803674;9.028153;8.689916
1540;9.549734;9.443970;10.347968;8.783722;10.053155;9.255044;9.422801;10.007435;9.517510;9.770566
1550;8.089954;9.092654;9.416636;9.568969;9.425949;8.753868;9.164479;9.892533;7.952279;9.909118
1560;8.817233;9.315372;8.491092;9.513006;9.417188;10.497509;9.743270;10.480451;10.501710;6.569129
1570;9.590416;9.292881;9.882518;9.159026;9.392901;9.847829;11.600618;9.182047;9.904325;8.384196
1580;9.764230;8.072133;9.369971;9.906980;9.529608;9.440063;8.925767;8.743672;9.340424;8.277001
1590;8.661902;9.360419;8.996626;8.691883;8.851905;8.452395;6.890544;9.830085;8.034125;9.020198
1600;10.604212;9.391924;9.595453;8.931822;8.750053;9.723913;7.982028;9.051784;10.576752;7.798369
1610;9.238131;10.007466;8.990317;6.588085;8.902932;9.371452;9.261023;8.252103;9.136440;8.725915
1620;9.155774;8.880818;9.355395;8.788947;8.135893;8.278814;8.988391;8.698644;9.001259;9.403903
1630;8.871410;7.760545;9.205187;9.623301;9.147877;8.940807;9.845157;9.536252;8.372080;9.192739
1640;9.186462;7.491260;8.438127;8.008318;8.099674;8.827480;9.109828;8.679534;8.070633;8.595872
1650;8.531536;7.029282;8.333744;8.804281;8.069361;7.161582;7.687180;8.404640;9.197131;8.721259
1660;7.408925;7.591105;8.244981;7.936841;7.711499;9.812788;7.650954;8.752967;9.287190;8.932279
1670;8.272625;8.297960;7.682910;7.535119;8.473100;7.973926;8.234632;8.469706;6.694132;7.959255
1680;8.366889;9.785958;8.651353;9.774494;7.819429;8.453486;9.540854;8.734763;8.757305;8.261075
1690;6.847514;8.955739;7.217218;7.654681;8.319422;6.749392;8.632219;7.941809;6.765508;8.813132
1700;7.061728;9.199671;7.686148;7.630318;8.568844;8.792505;7.614913;7.968087;8.526332;7.825597
1710;7.145460;7.731344;8.635937;8.669398;8.036146;7.608406;7.186702;8.743523;8.128362;8.423063
1720;7.412016;7.596488;8.128066;7.586968;8.099601;6.770602;8.434091;8.327335;7.125997;6.899950
1730;7.883198;7.671520;7.426104;6.750645;7.358552;6.910380;8.175977;8.306020;6.953653;7.196604
1740;8.061100;8.173458;8.636881;8.093932;7.816875;7.922297;8.222833;8.042768;8.289029;8.356777
1750;7.714113;6.671998;7.582065;7.368271;8.409225;6.891771;7.498481;7.040924;7.694557;8.294318
1760;7.374058;8.106059;7.429390;7.502823;8.189459;8.653475;8.980855;7.055079;7.387671;8.205270
1770;8.099348;7.774270;6.642640;9.056742;7.776008;7.922862;7.151222;7.833722;8.149212;7.152271
1780;8.448617;8.076033;6.571664;6.809322;9.057365;7.525234;7.812884;7.938982;6.412467;6.588829
1790;8.256529;5.520242;7.229192;7.294904;7.046511;8.115877;5.963741;7.676065;6.526087;7.336593
1800;6.951274;7.073706;6.844631;7.097767;7.669748;6.627413;7.145470;8.300669;6.440113;7.257685
1810;8.449131;6.656703;7.862607;5.817011;7.111163;7.353748;7.348006;8.110414;5.536399;7.466620
1820;7.636809;7.379617;7.008426;8.347817;7.700634;7.243564;6.813953;8.911174;7.220307;6.197160
1830;6.724464;6.262485;6.573382;6.563384;7.715275;6.810589;6.451865;7.685452;7.996810;7.442460
