Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD];TA11 [mOD];TA12 [mOD];TA13 [mOD];TA14 [mOD];TA15 [mOD];TA16 [mOD];TA17 [mOD];TA18 [mOD];TA19 [mOD];TA20 [mOD]
-30;-0.100451;-0.114379;-0.122288;-0.066220;-0.171601;-0.131932;-0.086805;-0.241142;-0.143822;-0.097154;-0.223653;-0.086959;-0.128467;-0.183115;-0.159723;-0.129652;-0.266628;-0.042909;-0.172492;-0.061749
-20;-0.240320;-0.212539;-0.281628;-0.449905;-0.436361;-0.241556;-0.302591;-0.358270;-0.294976;-0.290723;-0.335986;-0.140817;-0.319992;-0.391920;-0.381421;-0.377424;-0.318429;-0.318076;-0.251737;-0.406149
-10;-0.714724;-0.588613;-0.651991;-0.669156;-0.661361;-0.701883;-0.706141;-0.671944;-0.910933;-0.768281;-0.754516;-0.640980;-0.655599;-0.612054;-0.547575;-0.619525;-0.461696;-0.734788;-0.641319;-0.808709
0;-0.973612;-1.142587;-1.061703;-1.049179;-1.153606;-0.848365;-1.060226;-0.950041;-1.105395;-0.917389;-1.129578;-0.991117;-1.053746;-1.118324;-1.275771;-1.064236;-1.016412;-1.106762;-1.003901;-1.596093
10;-1.627370;-1.406650;-1.326921;-1.283590;-1.527372;-1.469118;-1.395541;-1.500463;-1.475793;-1.409869;-1.582087;-1.375753;-1.429287;-1.386483;-1.400901;-1.294742;-1.274645;-1.365246;-1.466475;-1.397914
20;-1.841751;-1.672190;-1.866512;-1.756204;-1.664414;-1.595865;-1.876954;-1.697473;-1.637330;-1.715728;-1.807457;-1.693166;-1.867298;-1.629219;-1.763879;-1.774060;-1.552501;-1.631840;-1.689689;-1.678451
30;-1.840206;-1.737964;-1.938880;-1.939747;-1.930063;-2.006738;-2.226727;-2.170667;-1.957958;-2.060596;-1.893867;-1.896946;-1.830118;-2.065597;-1.878664;-1.837527;-1.970364;-2.014182;-2.050350;-2.020854
40;-2.268264;-2.247780;-2.276929;-2.291320;-2.163569;-2.327149;-2.014099;-2.005230;-2.197644;-2.362144;-2.303167;-2.089838;-2.316871;-2.116821;-2.045854;-2.146441;-2.146658;-2.182014;-2.173757;-2.080782
50;-2.319570;-2.560682;-2.337039;-2.212105;-2.289976;-2.535042;-2.364837;-2.670625;-2.455877;-2.489827;-2.460098;-2.550171;-2.501973;-2.303252;-2.273122;-2.494552;-2.508213;-2.473321;-2.504484;-2.419139
60;-2.391512;-2.534365;-2.793586;-2.651287;-2.577130;-2.543160;-2.636852;-2.662704;-2.757488;-2.497222;-2.630392;-2.476239;-2.665029;-2.624544;-2.385001;-2.669144;-2.771821;-2.699655;-2.624629;-2.386285
70;-2.693356;-2.835473;-2.596126;-2.785245;-2.581283;-2.941100;-2.930156;-2.691927;-2.865087;-2.716796;-2.869297;-2.853851;-2.940767;-2.640006;-2.715425;-2.786775;-2.663506;-2.710174;-2.737230;-2.851455
80;-2.961722;-2.626651;-2.958299;-2.651561;-2.945235;-3.090750;-2.931279;-2.889431;-2.982135;-2.963541;-3.132775;-3.114483;-2.859573;-2.936637;-2.946701;-3.015071;-2.907824;-3.017521;-2.959388;-2.963499
90;-3.032156;-2.724472;-2.885967;-2.858302;-2.962380;-3.108008;-3.017621;-2.916472;-3.034462;-2.931950;-3.045687;-3.009056;-3.130344;-2.859319;-2.845650;-2.952844;-3.023216;-2.840670;-2.981376;-2.989623
100;-2.887034;-2.787160;-3.137307;-2.942316;-2.971239;-2.915003;-3.128556;-2.913912;-3.001656;-2.903464;-2.718208;-2.957107;-3.184367;-2.891260;-2.963412;-3.026313;-3.048225;-2.965743;-3.079088;-2.790067
110;-2.723382;-2.620599;-2.578529;-2.863253;-2.817988;-2.762369;-2.856692;-2.819879;-2.843649;-2.951400;-2.959403;-2.572391;-2.743140;-2.664043;-3.109986;-2.708259;-2.484793;-2.784184;-2.623934;-2.761062
120;-2.565336;-2.590503;-2.721885;-2.621120;-2.623563;-2.626172;-2.431950;-2.610292;-2.558347;-2.540041;-2.667592;-2.477879;-2.561773;-2.635764;-2.607680;-2.450382;-2.693803;-2.621530;-2.617470;-2.879760
130;-2.288040;-2.372594;-2.408045;-2.291590;-2.336700;-2.467384;-2.166259;-2.281325;-2.332457;-2.455042;-2.232046;-2.259763;-2.387679;-2.335699;-2.316081;-2.236091;-2.133734;-2.416016;-2.361504;-2.313988
140;-2.255600;-2.094157;-2.404292;-2.037579;-2.163936;-2.325431;-2.318249;-2.245774;-2.289311;-2.182598;-2.401705;-2.208171;-2.255883;-2.203496;-2.150435;-2.158743;-2.126162;-2.196442;-2.196186;-2.255919
150;-2.101891;-2.039526;-2.248821;-2.561522;-2.103790;-2.040173;-2.037960;-1.975284;-2.127525;-2.148704;-1.843644;-1.933355;-1.994266;-2.045712;-2.103175;-2.140584;-2.394907;-2.143958;-2.060289;-2.004995
160;-1.990694;-1.868721;-2.011234;-1.920453;-1.819244;-1.913075;-1.844844;-1.888210;-1.931836;-1.744904;-2.059974;-1.986527;-1.866846;-2.017985;-1.976627;-1.902825;-2.020170;-2.004576;-2.005252;-1.961269
170;-1.939212;-1.667530;-1.974547;-1.815903;-1.820289;-1.678064;-1.758078;-1.754202;-1.807356;-1.783865;-1.743396;-1.781030;-1.852267;-1.801620;-1.732834;-1.873134;-1.722022;-1.746841;-1.657927;-2.181571
180;-1.801910;-1.690949;-1.707268;-1.621658;-1.642288;-1.710471;-1.577108;-1.648800;-1.665848;-1.830675;-1.726792;-1.461768;-1.700538;-1.841671;-1.639376;-1.449930;-1.726938;-1.759704;-1.726418;-1.643418
190;-1.523925;-1.626618;-1.380914;-1.465920;-1.604712;-1.412191;-1.326808;-1.527087;-1.513813;-1.746452;-1.723188;-1.641335;-1.726274;-1.627485;-1.746739;-1.723722;-1.532974;-1.493252;-1.642225;-1.546180
