Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
1370;3.773050;3.596384;3.450301;3.542964;3.670511;3.300574;2.989073;3.968513;3.275783;3.382600
1380;3.683711;2.393398;4.038756;3.942637;3.424606;4.254507;3.989839;3.425561;3.231667;3.205517
1390;3.287836;4.198158;3.131104;3.397870;3.582598;3.238373;2.772025;3.296609;3.422810;3.594000
1400;3.557689;3.646502;3.991183;3.896872;3.332629;4.187686;3.863838;4.002045;3.705492;3.443556
1410;3.348187;3.816869;3.714449;3.373149;3.107498;3.007750;3.086986;3.989381;4.228286;3.077385
1420;3.378832;3.522432;3.423665;3.518740;3.338560;3.421629;4.078085;3.232643;3.445764;3.805511
1430;3.569816;4.168299;3.904153;3.272537;3.510980;3.402711;2.953628;3.180244;3.038598;3.700698
1440;3.036230;3.745918;3.636939;3.627132;3.707428;2.949390;3.419502;3.466015;3.584519;3.031154
1450;3.108104;3.864360;3.522436;3.454247;3.343673;3.393737;3.187182;2.850893;2.950507;2.990270
1460;3.710586;3.338249;3.202083;2.916942;3.423873;3.385524;3.508653;3.222641;3.529793;3.789281
1470;2.812166;3.450153;3.089785;3.158353;3.591943;3.547948;3.223457;2.822679;3.624354;3.620486
1480;3.834360;2.693135;3.517459;3.582770;3.206704;3.547393;3.400605;3.474827;4.105518;3.658263
1490;2.991246;3.219575;4.290900;3.118159;3.722999;3.307261;3.526265;2.910330;3.467304;3.423941
1500;3.672050;3.460141;3.427414;3.988666;2.888180;3.216049;3.459456;3.549708;3.546392;3.143555
1510;3.613021;3.443253;4.034482;3.803026;2.533353;3.554339;3.426951;3.271709;2.916136;3.459811
1520;3.241736;3.813955;2.600780;3.608318;3.417534;3.641842;3.416033;3.971694;3.168281;3.026090
1530;3.128324;3.750985;3.121479;2.857196;3.051518;3.432621;3.232007;3.803418;3.406763;3.558669
1540;3.642994;3.302417;2.976651;3.379838;3.353875;3.229722;3.771525;3.518960;3.966248;3.344788
1550;3.853789;3.560857;2.913679;3.613201;3.383197;3.743960;3.770731;3.547952;3.038899;3.924997
1560;3.470315;2.968355;3.312700;3.608770;3.709199;3.952782;3.247291;2.865383;2.554589;3.804576
1570;3.416753;2.837691;3.965470;3.472527;3.242395;2.716814;3.157132;4.023381;3.541935;3.794588
1580;3.736243;3.413375;2.733048;3.918683;3.702559;3.230517;3.705470;3.096377;2.588691;2.748480
1590;3.170437;3.640275;3.920812;3.838031;2.811439;3.630796;3.072205;3.206951;3.303180;3.547501
1600;2.315357;3.344932;3.090769;3.421437;3.441522;3.962867;2.809156;3.128601;3.430661;2.465286
1610;3.061969;3.090434;3.554031;3.629274;4.087777;3.430388;3.012757;3.638288;3.513854;3.244987
1620;3.798610;3.590294;3.588278;3.280952;2.504435;3.848487;3.422618;3.544179;3.329373;3.379218
1630;3.972227;3.708808;2.813967;3.031072;3.221741;3.854414;2.909886;3.750895;3.166193;3.598055
1640;3.863583;2.947072;3.539637;2.765048;3.121274;3.679233;3.877675;3.129485;3.628248;3.192383
1650;2.928415;2.842605;3.316738;2.993645;2.855430;3.644191;3.223872;3.714010;3.299393;4.029534
1660;3.308518;4.012041;3.053370;2.686564;3.752478;3.294343;3.292215;3.094378;3.782208;3.745069
1670;3.601027;3.115753;3.107503;2.839853;3.312565;2.831724;2.886456;3.158911;3.076324;2.830816
1680;3.103099;2.903816;3.000812;3.253934;3.464117;3.230778;3.148466;3.134141;3.697155;2.945788
1690;3.071441;3.128261;3.628622;3.631875;2.961416;3.115765;2.702651;4.210549;3.311814;3.285355
1700;3.593815;2.800832;3.446782;3.210149;2.981047;3.350565;2.982468;3.407066;3.248363;3.086406
1710;3.311610;2.641067;3.449291;3.407318;2.971673;2.969167;3.892855;3.401726;3.544395;3.756036
1720;2.938926;3.234047;2.944903;3.003050;3.138951;3.115635;3.097642;3.667106;3.091355;3.216732
1730;3.718590;2.981416;3.727627;3.339900;3.379404;3.467646;4.118779;4.006816;2.700320;2.496500
1740;4.054021;3.305551;2.896151;3.276873;3.062154;3.453358;3.146803;3.464094;4.212625;2.771392
1750;3.452187;3.445206;3.843307;3.308803;3.079881;2.817251;3.360858;2.520834;3.229875;3.247331
1760;3.397916;4.044794;3.757364;2.893982;3.272434;3.050083;2.915653;2.940595;3.253450;2.953003
1770;2.806227;3.007202;4.131408;3.307291;3.568341;3.042402;3.416071;3.970686;2.168049;3.434491
1780;3.328399;2.821926;2.858222;3.195179;2.667334;2.711307;3.710499;3.230145;2.432768;3.006598
1790;3.076942;3.717009;3.175261;2.875026;3.105959;3.928828;2.742291;3.335537;3.255327;3.503007
1800;3.481896;3.207523;3.623495;3.436192;3.897764;3.152385;3.313001;3.300226;2.629420;2.635758
1810;2.937422;2.553032;2.622551;3.440126;2.913550;3.478932;3.167109;3.882593;3.203731;3.497477
1820;3.715701;3.624458;3.090329;2.890411;3.660218;3.032462;3.262147;2.406928;3.141790;3.493315
1830;3.632351;3.765004;3.928545;2.128419;3.080684;3.613604;2.638809;2.697384;2.968113;2.874320
1840;3.453471;3.104457;3.043596;2.799906;2.867792;3.733190;3.040372;2.745542;3.195086;3.366898
1850;2.683133;3.879574;3.404500;3.458608;3.235965;3.593562;3.824466;3.104891;3.051699;3.076805
1860;3.640837;3.029873;3.037514;2.965651;3.678680;2.710266;3.470429;4.126584;3.442915;2.984554
1870;3.609379;3.515107;3.169538;3.497999;3.330021;3.631898;3.414511;3.666336;3.208569;3.404010
1880;3.354418;3.266010;3.606645;3.013821;2.729749;2.808162;3.174975;3.259806;2.800667;2.458061
1890;3.149785;3.394325;2.698600;3.019842;3.237995;3.424468;3.906023;2.904718;3.324242;2.833824
1900;2.801658;2.976184;3.660703;2.784728;3.117580;3.219449;3.106922;2.491320;3.387853;3.433507
1910;2.787245;3.509719;3.706760;3.048423;2.922883;2.959775;2.681860;2.903089;3.228647;2.949971
1920;2.771825;3.271192;2.849316;2.519679;3.571069;3.395192;3.747904;3.190872;3.661058;3.297316
1930;3.225668;3.375269;2.890691;2.682886;3.698075;3.024652;3.284744;2.995559;2.478586;3.496375
1940;3.449075;2.527405;2.672322;3.097871;3.428054;2.774701;3.158055;2.757664;2.944106;3.413457
1950;3.830588;2.983948;2.766512;3.102375;3.362953;2.915388;2.421179;3.187957;3.237943;2.908432
1960;3.114084;3.946872;3.796517;2.954551;2.928739;3.511490;3.372125;3.159599;2.992381;3.636471
1970;2.654396;2.884972;3.085806;2.812982;2.655925;3.067712;3.140088;2.941542;3.212301;2.865630
1980;2.724133;2.489409;3.071455;2.330875;2.868758;2.513828;2.865347;3.119382;3.324271;2.775455
1990;3.196321;3.466989;4.104245;3.954228;3.288031;3.334968;2.868021;2.593540;3.264451;3.232158
2000;2.866432;3.686234;3.122826;3.187205;2.597535;3.489024;3.572509;3.104179;3.583163;2.949966
2010;3.210321;3.295135;2.830267;3.310233;3.625531;3.041119;2.994422;2.626436;2.551333;3.548701
2020;2.850471;3.165156;2.604872;3.127752;3.733354;3.112157;2.975019;3.339534;2.733914;4.117832
2030;3.055719;3.139099;3.461914;3.284980;2.706683;3.520323;3.189827;3.260729;3.102596;2.988468
2040;2.613331;3.011589;2.971852;3.405217;2.956196;3.080079;3.256437;2.928378;2.944766;3.112670
2050;3.224360;3.119889;2.976201;3.039545;2.995364;2.299886;3.142696;3.227723;3.477488;2.808001
2060;3.157522;3.252921;3.353286;3.913244;4.186117;2.921263;3.116351;3.146514;2.811996;2.961904
2070;3.869542;3.007368;3.189525;3.248020;3.389294;2.963025;3.248441;3.086713;3.154293;3.335660
