Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
460;10.704173;10.619417;10.256708;10.506964;10.016252;10.238454;9.868090;10.451025;9.848232;9.513268
470;10.730221;10.572635;10.722801;10.333113;9.991008;10.263056;9.474945;10.388329;9.600279;10.183997
480;10.567909;10.466040;10.061309;10.103847;10.025999;9.745773;9.797654;10.239394;9.624928;9.832837
490;11.026984;9.911983;10.174330;10.388463;9.846352;9.260375;9.579989;9.752968;9.180801;9.900315
500;10.102374;10.636134;10.513568;10.214329;10.315466;9.512562;9.542137;9.998241;9.334752;9.387692
510;10.513296;10.144382;10.404370;9.517682;9.444413;9.093752;9.441208;9.861712;9.143080;9.041662
520;9.743686;10.228937;9.726516;9.557719;9.504512;9.469677;9.575165;9.705170;9.003437;9.454311
530;9.936201;9.512576;9.974726;9.612301;9.371456;9.164692;9.257482;9.685814;8.982256;9.076467
540;9.919785;10.484055;10.108734;9.659885;9.336522;9.199202;9.096933;8.878479;8.654990;8.542428
550;9.829286;9.790318;9.906776;9.227728;9.480444;9.089623;8.796726;8.849072;8.590813;8.847871
560;9.762076;8.943360;9.781509;9.021071;9.025870;8.969576;8.744868;9.472182;9.046910;9.200834
570;9.541803;9.326101;9.100913;9.630997;8.794872;8.762151;8.894289;9.352103;8.045863;9.000414
580;9.159553;9.838313;9.193168;8.906406;8.603659;8.577715;8.626762;9.259341;8.457663;8.391976
590;9.238015;9.027887;8.842828;8.496469;8.869502;8.768533;8.477231;8.957118;8.990308;8.857640
600;9.179390;8.735773;9.087868;8.567128;8.758281;8.869203;8.589834;8.374824;8.640128;8.111758
610;9.221430;9.363754;8.990932;8.417736;8.556679;8.252643;8.489513;9.036951;8.448551;8.316337
620;8.520838;9.151266;8.770966;8.933477;8.715880;8.348265;8.847121;8.846177;8.648111;8.494153
630;8.867936;9.081374;8.600842;8.681262;7.899683;8.348554;8.603830;8.478749;7.603505;7.889324
640;8.816806;8.918233;8.423097;8.268788;8.045636;8.227629;7.951437;8.607784;8.353923;8.059517
650;8.231837;8.744140;8.704287;8.304915;8.447112;8.078420;7.765993;8.742886;8.036866;8.225955
660;8.579116;8.711094;8.655706;8.546685;8.087036;7.741555;8.019202;8.218720;7.815826;8.202738
670;8.505020;8.592068;8.538423;8.461914;7.712023;8.673066;7.731652;8.018575;7.960089;8.575170
680;8.649808;8.039951;8.083810;8.141143;7.998790;7.829219;8.002651;8.543119;7.422742;7.960715
690;8.123274;8.885430;8.610242;8.335801;7.744175;7.734143;7.895042;7.336431;8.256426;7.890358
700;8.004179;8.358767;8.222243;8.079957;7.556328;7.706802;7.854336;7.568983;7.699399;7.783913
710;7.506667;8.204549;7.662907;7.708053;7.829591;7.696399;7.689193;8.140592;7.102653;7.713369
720;7.668786;7.985345;8.070650;7.710284;7.334962;7.505537;7.418517;7.961249;7.750274;7.497920
730;7.893341;7.832281;7.861431;7.458799;6.829671;7.958090;7.127666;7.477979;7.270685;7.372024
740;8.076969;7.859592;8.009851;7.826392;7.932322;7.430163;6.861168;7.443123;7.262114;7.603989
750;7.700779;7.871815;8.038797;7.430185;6.992437;7.657500;7.390381;7.718238;6.842134;7.482567
760;7.942491;7.998979;7.179603;7.770558;7.003688;7.238674;7.247352;7.377641;6.948937;7.199989
770;7.375918;7.501104;7.563957;7.627939;7.442659;6.832589;6.951021;7.458545;7.059231;7.170530
