Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
430;5.375147;5.696307;5.467646;5.163789;5.781490;4.893461;5.743513;5.295819;3.975072;4.998426
440;4.655682;5.248700;5.708594;5.210004;5.415694;5.227789;4.423749;5.226491;4.414560;4.859946
450;4.321048;5.201108;5.058163;4.478966;5.170135;5.399181;4.944679;4.970950;5.029490;4.426990
460;4.937315;5.288981;4.776387;4.780733;5.544008;4.366428;4.536621;5.947649;5.377426;4.590736
470;5.713814;5.193346;4.552538;4.276086;5.246443;4.559654;4.233461;4.677139;4.415653;5.399853
480;4.283285;5.897024;4.248441;5.366974;4.768612;4.804573;5.235740;5.064416;4.860746;5.341201
490;4.422773;5.502361;5.377922;4.193097;4.101960;4.129707;4.715674;4.185365;5.092989;4.559406
500;4.575231;3.937686;4.583759;3.789381;4.669405;4.188668;5.022015;4.025470;3.951294;5.485102
510;4.286442;5.331976;5.328047;4.600992;4.056072;5.152467;5.311649;4.972952;4.337331;4.079934
520;4.885463;4.957498;4.755696;4.796076;4.904348;4.445408;4.492500;4.931374;5.162973;4.607197
530;3.654637;4.428112;4.023023;4.903627;4.211592;4.963007;4.435311;3.610510;4.477829;5.134475
540;5.503320;5.112373;4.753857;3.908881;4.671651;5.359172;5.355092;4.469860;4.446593;4.547866
550;4.770016;4.634308;3.777293;4.937922;4.632596;3.983746;5.181841;3.710718;5.362652;4.711246
560;4.578862;4.437378;5.426146;3.913911;4.006795;4.305122;4.628600;4.522775;4.658946;4.522937
570;4.632912;4.201237;4.970961;3.866759;4.433706;4.660681;5.297859;3.618239;5.737720;4.276983
580;4.704139;4.946608;4.621982;3.319916;4.259994;3.179478;4.635956;4.042715;4.552739;3.697655
590;4.125237;4.810967;5.244918;4.518701;3.878682;2.589739;3.748629;4.692708;4.797205;4.857848
600;4.486669;5.072617;4.406676;4.388241;3.669244;4.114403;4.610104;4.972149;3.607276;4.375031
610;3.743773;4.404693;4.609307;4.303306;4.675005;5.071447;4.925686;3.765114;5.189321;3.826863
620;4.006154;3.667615;2.849710;4.487052;5.616628;3.157726;4.023079;4.745722;4.871030;3.360719
630;3.684445;4.439064;3.776024;4.304252;3.331663;3.960175;4.316630;3.475505;3.912526;4.529010
640;4.136813;3.868916;4.165567;4.460451;3.375966;4.140173;4.877382;4.579936;4.020140;4.293186
650;4.621135;4.873604;3.343077;3.514496;3.904789;4.356251;4.801489;4.759282;3.505930;4.169046
660;3.718395;3.810698;3.959794;3.496339;4.646385;4.182160;3.241252;3.571464;4.421356;3.975298
670;5.193746;3.328653;4.514455;5.106739;4.259489;4.189192;3.598445;3.994332;4.064511;4.888810
680;3.478547;4.331044;4.052107;3.824019;3.492026;2.894871;3.097467;4.190246;4.354760;4.000309
690;4.112139;3.786723;4.037364;3.774079;3.628871;3.476779;4.815684;4.013207;4.032005;4.080245
700;4.281223;3.669721;3.654184;3.418914;4.517802;4.036057;4.249086;4.159324;2.760909;3.392741
710;4.467492;4.846182;3.471322;2.212457;4.050437;3.834118;4.368462;3.970197;4.578193;3.270050
720;4.227176;4.417184;3.613700;3.564301;3.952366;4.379966;4.130628;3.100056;2.290709;3.203596
730;3.051386;3.766712;4.044630;4.063669;3.165685;4.028034;2.951754;3.114617;4.012920;4.129192
740;4.367843;3.550340;3.035548;4.262525;3.506457;3.450589;2.999641;2.949203;3.602115;3.659018
750;3.367714;3.737412;3.871706;3.553194;3.519250;3.119711;3.150468;4.352657;3.043403;3.359671
760;3.459482;3.005253;3.848131;3.270382;3.862046;4.357797;4.277776;3.996567;2.785566;3.469882
770;3.524139;3.817854;3.478911;3.073739;3.649824;3.524053;2.963477;3.866127;3.527843;2.886207
780;3.499768;3.349145;4.346177;3.125090;3.339427;3.958959;3.872656;3.323164;2.973438;3.945166
790;3.278194;3.915647;2.748015;3.443600;3.888268;3.798598;3.930519;3.810004;3.960027;3.026667
800;4.036908;2.714120;3.510935;4.143709;3.680956;2.369700;4.082983;3.910917;3.542261;3.401455
810;3.233102;3.334356;3.974144;3.234800;4.073222;2.429813;3.548438;4.290765;2.885165;4.179520
820;4.875184;3.595273;3.569352;4.059427;3.585306;3.818474;2.361999;3.341793;3.511386;3.426433
