Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD];TA6 [mOD];TA7 [mOD];TA8 [mOD];TA9 [mOD];TA10 [mOD]
460;-0.466271;-0.754267;-0.723445;-0.491074;-0.503813;-0.351143;-0.724341;-0.619302;-0.775178;-0.702725
470;-0.610766;-0.492498;-0.641219;-0.499402;-0.474095;-0.408165;-0.541216;-0.555888;-0.636428;-0.622386
480;-0.701635;-0.691232;-0.388649;-0.595960;-0.620238;-0.540817;-0.566693;-0.361761;-0.632196;-0.543299
490;-0.559857;-0.411605;-0.423072;-0.431455;-0.465645;-0.623518;-0.405218;-0.557242;-0.493327;-0.513544
500;-0.550202;-0.514541;-0.466420;-0.416831;-0.507638;-0.661785;-0.561773;-0.293709;-0.451720;-0.331500
510;-0.368624;-0.373819;-0.584642;-0.470139;-0.237565;-0.262885;-0.245316;-0.300806;-0.537934;-0.503291
520;-0.552134;-0.280235;-0.290635;-0.441467;-0.357720;-0.368818;-0.222188;-0.490855;-0.334564;-0.520352
530;-0.355400;-0.198175;-0.357509;-0.343104;-0.323622;-0.411743;-0.668240;-0.214145;-0.417645;-0.419311
540;-0.498696;-0.421930;-0.426943;-0.337791;-0.331873;-0.446401;-0.502287;-0.392114;-0.347644;-0.516762
550;-0.285743;-0.226260;-0.274909;-0.365015;-0.281289;-0.070181;-0.473436;-0.156035;-0.186934;-0.411777
560;-0.335993;-0.255191;-0.283449;-0.316224;-0.197541;-0.338580;-0.145148;-0.625068;-0.391724;-0.440980
570;-0.231346;-0.357385;-0.032420;-0.345893;-0.244199;-0.166072;-0.213222;-0.137092;-0.275575;-0.267442
580;-0.151544;-0.382173;-0.095352;-0.321871;-0.196535;-0.237724;-0.516164;-0.161483;-0.188994;-0.257155
590;-0.118788;-0.150576;-0.130201;0.006331;-0.353917;-0.179043;-0.218795;-0.238305;-0.284349;-0.045990
600;-0.186956;-0.342349;-0.387814;-0.224886;-0.315118;-0.093201;-0.233464;-0.295390;-0.018518;-0.363287
610;-0.201777;-0.336125;-0.279404;-0.207803;-0.227053;-0.321808;-0.254804;-0.396995;-0.431401;-0.171532
620;-0.227338;-0.153914;-0.204580;-0.277713;-0.104656;-0.215873;-0.122354;-0.282074;-0.214639;-0.231427
630;-0.171121;-0.167653;-0.176576;-0.178356;-0.378401;0.001974;-0.241125;-0.157604;-0.262069;-0.053479
640;-0.210321;0.272292;-0.281036;-0.165213;-0.100274;-0.248569;-0.250448;-0.219551;-0.254867;-0.183568
650;-0.255973;-0.219098;-0.247534;-0.172549;-0.120856;-0.175537;-0.246414;-0.045345;-0.108783;0.110891
660;-0.221474;-0.200370;-0.193222;-0.080728;-0.060758;-0.028438;-0.055373;-0.292806;-0.069743;-0.055042
670;-0.164851;-0.162354;-0.200049;-0.155818;-0.251152;-0.120717;-0.168358;-0.227810;-0.064234;-0.104623
680;-0.197097;-0.303435;0.057470;-0.012660;-0.223797;0.012228;-0.278728;-0.055532;-0.209273;-0.005113
690;0.028846;-0.056790;-0.061437;-0.083893;-0.082446;-0.229740;-0.134187;0.028759;-0.019695;-0.105303
700;0.002404;-0.029781;-0.036431;-0.070463;-0.210001;-0.005524;-0.025262;-0.109904;-0.141952;-0.231616
710;-0.072123;-0.369071;-0.110803;-0.074022;-0.311039;-0.025250;-0.056434;0.115044;-0.085101;-0.188942
720;-0.008817;-0.002382;-0.002773;-0.055823;-0.205356;-0.116506;0.023280;-0.016946;-0.094535;-0.153083
730;-0.022022;-0.136214;-0.058630;-0.138999;-0.068687;-0.028814;-0.031561;-0.042141;-0.190112;-0.060920
740;-0.102174;0.013507;0.183241;-0.087111;-0.138877;-0.018564;-0.022487;-0.317424;-0.167814;-0.200281
750;0.076952;-0.196598;0.038412;0.001981;-0.320891;0.179840;-0.050101;0.066205;-0.043716;-0.121951
760;-0.103374;0.023033;-0.089183;-0.222000;0.000789;-0.029589;-0.192627;0.045735;-0.023652;-0.169610
770;-0.090146;-0.071935;-0.015825;-0.075700;-0.252435;0.075350;-0.147656;-0.034705;-0.021271;-0.188647
780;-0.048068;-0.133876;-0.102068;-0.383394;-0.092753;-0.052502;0.008689;-0.062290;-0.076018;-0.048766
790;0.199875;-0.036957;-0.105276;-0.053883;-0.026441;-0.123576;-0.050542;-0.084430;-0.416502;-0.223853
800;0.133387;-0.085367;-0.060587;-0.158254;-0.129979;-0.043014;-0.071920;-0.048137;-0.137548;0.034997
810;-0.124092;-0.011905;-0.004747;-0.151435;-0.212782;-0.123480;0.157103;-0.212560;-0.156533;-0.121184
820;0.065659;-0.097255;0.095387;0.119716;-0.138615;0.065516;-0.004739;0.066317;-0.010646;-0.052736
830;-0.016815;-0.130955;-0.188846;-0.120452;0.091982;-0.217541;-0.019338;-0.181930;-0.025233;0.267866
840;-0.057674;-0.081016;0.128184;0.100655;-0.211759;0.011450;-0.020934;-0.108568;0.017368;-0.021239
850;-0.028457;0.003967;-0.219688;-0.080802;-0.140799;-0.177656;-0.005528;0.097437;0.057601;0.034233
860;-0.075723;-0.099302;-0.104419;-0.062985;0.029615;0.011840;0.048155;-0.037494;-0.186866;0.044466
870;0.182666;-0.128650;-0.165048;0.128310;-0.106523;-0.007892;0.108619;-0.013015;-0.192969;0.001968
880;0.058950;0.144217;-0.138444;0.001188;-0.041444;-0.014603;-0.071465;-0.091640;-0.029613;-0.006302
890;0.075747;0.090098;0.036405;0.018997;-0.012224;-0.025257;0.047396;0.076984;-0.217908;0.064979
900;0.015216;0.046474;-0.020578;-0.018215;-0.106939;-0.019340;0.030011;-0.141379;0.021717;-0.052401
910;0.025657;-0.030184;-0.115872;-0.004750;0.081301;0.028406;0.080561;-0.103827;-0.005924;-0.071325
920;0.079709;0.090218;0.032034;0.195548;-0.103739;0.069066;-0.152556;0.037884;-0.057262;0.007487
930;-0.015216;0.020254;0.108755;-0.047508;-0.049349;0.002367;-0.039509;-0.056791;0.157687;0.221635
940;0.070127;0.063222;-0.057787;-0.164968;-0.108037;0.077368;-0.102691;-0.125060;-0.158791;-0.005919
950;0.060483;-0.067542;0.015033;-0.042736;-0.095795;-0.010259;0.058507;0.216336;-0.033952;-0.004341
960;-0.312643;0.039752;0.022970;-0.146052;0.120661;-0.146420;0.079016;0.011052;0.046635;-0.201557
970;-0.012421;0.052052;-0.059777;-0.197710;-0.068166;0.000395;-0.151584;0.019349;-0.085036;0.083181
980;-0.027657;0.123211;-0.044738;0.055758;0.089864;0.012637;-0.075373;-0.061199;-0.022520;-0.063075
990;0.016826;-0.117983;-0.033291;0.091412;-0.037060;-0.063482;0.046986;-0.142048;-0.004746;-0.048133
1000;0.018823;0.053232;0.046357;0.017017;-0.007490;-0.159085;0.028800;-0.020129;0.073202;0.076900
1010;-0.130244;0.104192;-0.069718;-0.023367;0.051640;-0.007898;0.029206;-0.043379;0.121117;0.139706
1020;-0.044876;0.001589;-0.049973;0.085941;-0.042565;-0.080138;0.160614;0.026073;0.029666;-0.123887
1030;-0.169857;0.008740;0.095220;0.099022;-0.004337;-0.137746;-0.063882;0.125576;-0.161312;0.033125
1040;0.132179;0.040486;0.067887;-0.277797;0.044955;-0.025667;-0.062304;-0.141043;-0.229914;0.018133
1050;0.237234;0.084185;-0.039318;-0.052277;0.041817;-0.127057;-0.097797;-0.191701;0.171708;0.120140
1060;-0.135592;0.011512;0.060315;0.142943;0.085693;-0.142474;-0.164853;0.082066;0.141920;0.233695
1070;-0.103696;-0.094118;0.086980;0.181398;-0.087608;-0.119206;-0.053212;0.005529;-0.031740;-0.002758
1080;-0.040886;-0.116383;-0.027003;-0.095433;-0.061569;0.139997;-0.033144;0.065502;-0.071043;0.234336
1090;-0.027251;0.022633;0.009935;-0.014268;-0.175835;-0.208391;0.006701;0.019340;0.182452;-0.213466
1100;-0.077324;0.123112;-0.026235;0.188955;0.088472;-0.100225;0.079671;0.082125;-0.112902;0.136327
1110;0.218965;0.125441;0.115233;-0.110184;-0.022919;-0.122782;0.009851;-0.008687;0.011912;-0.120813
1120;0.130570;-0.048459;-0.014302;0.040029;0.000790;-0.034362;-0.006702;0.051333;-0.042927;-0.071717
1130;-0.033655;-0.067472;-0.022666;0.147334;-0.070338;0.096704;0.018144;-0.061557;-0.036184;0.032299
1140;0.110448;0.326559;-0.034950;-0.082393;0.115411;-0.267641;0.065446;0.058812;0.269551;0.036258
1150;0.071269;-0.091722;0.030176;0.131385;-0.163627;0.052898;0.108032;0.016587;0.038570;-0.257757
1160;0.012006;-0.032937;0.015883;-0.007521;0.024524;0.108536;-0.042992;-0.099118;-0.135711;-0.013000
1170;0.015219;0.094446;-0.098470;-0.103768;-0.048632;0.044201;-0.006706;0.079779;0.006763;-0.172925
1180;0.221051;0.041672;0.265678;0.073660;0.109053;0.149121;-0.017350;0.158249;-0.023483;0.109200
1190;-0.042023;0.034146;0.081219;-0.023764;-0.026859;0.194571;0.101734;0.032743;-0.044584;-0.056770
1200;-0.008414;-0.034543;-0.021413;-0.031659;-0.029635;0.165101;-0.209393;-0.072256;0.273165;0.052060
1210;-0.100870;-0.010714;0.059057;-0.111300;0.190564;0.029219;0.144807;-0.067551;0.007962;0.039031
1220;0.014415;0.065542;0.007526;0.229300;-0.050548;0.102584;-0.024064;-0.125537;0.183576;0.013808
1230;-0.129722;-0.142248;-0.219123;0.059791;0.160671;0.109710;0.127019;0.058812;-0.018709;-0.055217
1240;-0.049240;-0.101332;-0.060939;0.109233;-0.153053;0.122282;-0.102159;0.078681;-0.019504;-0.100990
1250;-0.030032;-0.045320;0.048308;-0.087038;-0.006702;0.007494;-0.016171;0.095195;0.001194;-0.033520
1260;-0.128110;-0.029018;-0.007911;0.148490;0.083247;-0.074134;0.035501;0.217448;-0.002387;0.016936
1270;0.030791;-0.007555;0.017015;0.082722;0.022081;0.041010;0.132579;-0.052133;0.025064;-0.021279
1280;0.089578;-0.012734;0.019794;-0.005938;0.001971;0.001971;0.045772;-0.126754;0.005969;0.031912
1290;0.048387;-0.039393;0.120794;-0.003166;-0.092255;0.169450;-0.055985;-0.088847;0.042926;-0.002758
1300;0.390258;-0.022686;0.128941;0.037983;-0.190095;0.060702;0.156151;-0.067904;0.011127;-0.084636
1310;0.002000;-0.070503;0.025730;-0.052303;-0.037039;-0.047274;0.027606;0.033156;0.015482;0.003149
1320;0.046846;-0.100783;0.163471;-0.069286;0.050858;-0.158388;0.086375;-0.038685;0.072679;0.129553
1330;0.028802;-0.178044;-0.163149;-0.064542;0.136334;-0.191518;0.410809;-0.014982;-0.120701;0.014570
1340;-0.040790;0.113493;-0.082453;0.053491;0.228745;0.002763;0.095912;0.182260;0.090827;-0.006692
1350;-0.045221;0.176104;-0.020197;0.072464;0.007880;0.002760;0.214511;0.125056;-0.043970;0.083735
1360;0.068785;0.088477;-0.096557;-0.107740;-0.031938;0.032378;-0.110874;-0.115953;-0.000793;-0.052300
1370;0.017195;0.005180;-0.127898;0.010703;0.049661;0.058820;-0.099785;0.156900;-0.028946;0.069285
1380;-0.214800;0.006371;-0.101754;0.063305;-0.096212;0.011451;-0.001184;-0.157677;-0.169130;0.127932
1390;-0.018798;0.140631;0.020993;0.060190;-0.052025;-0.126248;0.196035;-0.015365;0.021779;0.007867
1400;0.035617;0.057348;-0.006337;0.040013;0.035872;0.111341;0.045359;-0.066279;0.090181;-0.070441
1410;0.205700;0.144563;-0.014270;0.085879;-0.026810;0.082512;-0.006314;0.066681;0.064477;-0.031095
1420;0.011216;0.064989;0.004755;0.126785;-0.076131;0.123126;0.017752;0.171923;-0.101582;-0.071565
1430;0.135365;0.090031;-0.013071;-0.077992;-0.066283;0.042612;-0.083170;0.050894;0.069928;0.042103
1440;0.082105;-0.045831;0.056242;-0.064083;-0.082060;-0.016966;0.036665;-0.053608;0.016976;-0.159789
